SampleIndex,SensorID,TimeStamp,RawData
1,3890,200,13
2,3890,223,15
3,3890,248,11
4,3890,280,22
5,4082,541,66
6,4082,601,67
7,4082,702,69
8,3890,845,65
9,4082,1123,64
10,4082,1253,63
11,3890,1435,62
12,3890,200,13
13,3890,223,15
14,3890,248,11
15,3890,280,22
16,4082,541,66
17,4082,601,67
18,4082,702,69
19,3890,845,65
20,4082,1123,64
21,4082,1253,63
22,3890,1435,62
23,3890,1440,62
24,3874,1442,124
25,3906,1450,242
26,3922,1461,535
27,3938,1478,634
28,3954,1489,742
29,3858,1500,632
30,4018,1511,300
31,3890,200,13
32,3890,223,15
33,3890,248,11
34,3890,280,22
35,4082,541,66
36,4082,601,67
37,4082,702,69
38,3890,845,65
39,4082,1123,64
40,4082,1253,63
41,3890,1435,62
42,3890,1440,62
43,3874,1442,124
44,3906,1450,242
45,3922,1461,535
46,3938,1478,634
47,3954,1489,742
48,3858,1500,632
49,4018,1511,300
50,3890,200,13
51,3890,223,15
52,3890,248,11
53,3890,280,22
54,4082,541,66
55,4082,601,67
56,4082,702,69
57,3890,845,65
58,4082,1123,64
59,4082,1253,63
60,3890,1435,62
61,3890,1440,62
62,3874,1442,124
63,3906,1450,242
64,3922,1461,535
65,3938,1478,634
66,3954,1489,742
67,3858,1500,632
68,4018,1511,300
69,3890,200,13
70,3890,223,15
71,3890,248,11
72,3890,280,22
73,4082,541,66
74,4082,601,67
75,4082,702,69
76,3890,845,65
77,4082,1123,64
78,4082,1253,63
79,3890,1435,62
80,3890,1440,62
81,3874,1442,124
82,3906,1450,242
83,3922,1461,535
84,3938,1478,634
85,3954,1489,742
86,3858,1500,632
87,4018,1511,300
88,3890,200,13
89,3890,223,15
90,3890,248,11
91,3890,280,22
92,4082,541,66
93,4082,601,67
94,4082,702,69
95,3890,845,65
96,4082,1123,64
97,4082,1253,63
98,3890,1435,62
99,3890,1440,62
100,3874,1442,124
101,3906,1450,242
102,3922,1461,535
103,3938,1478,634
104,3954,1489,742
105,3858,1500,632
106,4018,1511,300
107,3890,200,13
108,3890,223,15
109,3890,248,11
110,3890,280,22
111,4082,541,66
112,4082,601,67
113,4082,702,69
114,3890,845,65
115,4082,1123,64
116,4082,1253,63
117,3890,1435,62
118,3890,1440,62
119,3874,1442,124
120,3906,1450,242
121,3922,1461,535
122,3938,1478,634
123,3954,1489,742
124,3858,1500,632
125,4018,1511,300
126,3890,200,13
127,3890,223,15
128,3890,248,11
129,3890,280,22
130,4082,541,66
131,4082,601,67
132,4082,702,69
133,3890,845,65
134,4082,1123,64
135,4082,1253,63
136,3890,1435,62
137,3890,1440,62
138,3874,1442,124
139,3906,1450,242
140,3922,1461,535
141,3938,1478,634
142,3954,1489,742
143,3858,1500,632
144,4018,1511,300
