TimeStamp,RawData
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
280,22
541,66
601,67
702,69
845,65
1123,64
1253,63
1435,62
1440,62
1450,242
1461,535
1478,634
1489,742
1500,632
1511,300
